time,PVS-100-TL-OUTD SN 115179-3Q15-4020,PVS-100-TL-OUTD SN 115190-3Q15-4020,PVS-100-TL-OUTD SN 115228-3Q15-4020
2021-08-04 22:30:12+00,0,0,0
2021-08-04 22:45:10+00,828.38,507.78,614.56
2021-08-04 23:00:10+00,4410.11,1680.2,1919.03
2021-08-04 23:15:15+00,10594.81,2722.94,3303.11
2021-08-04 23:30:15+00,17821.71,3886.56,5902.97
2021-08-04 23:45:12+00,25752.63,6230.27,9990.92
2021-08-05 00:00:15+00,32737.47,10747.18,15539.44
2021-08-05 00:15:10+00,39130.23,16387.76,21824.77
2021-08-05 00:30:10+00,45666.81,22541.68,28705.12
2021-08-05 00:45:15+00,51744.36,28905.52,35642.25
2021-08-05 01:00:15+00,57542.56,35029.79,42925.86
2021-08-05 01:15:15+00,63258.04,41570.56,50020.96
2021-08-05 01:30:09+00,67414.37,47073.34,56459.45
2021-08-05 01:45:10+00,71595.5,52595.96,62639.37
2021-08-05 02:00:10+00,75024.18,57409.22,67960.66
2021-08-05 02:15:15+00,78578.12,62309.65,73269.62
2021-08-05 02:30:15+00,82357.15,67124.52,78633.59
2021-08-05 02:45:15+00,85346.09,72248.5,84478.27
2021-08-05 03:00:09+00,88905.83,77796.42,90211.2
2021-08-05 03:15:10+00,93223.68,84082.59,97136.45
2021-08-05 03:30:15+00,94592.93,87232.83,99378.76
2021-08-05 03:45:10+00,95550.92,86139.9,90972.19
2021-08-05 04:00:15+00,96447.55,90489.48,99998.3
2021-08-05 04:15:10+00,85209.9,89269.16,86792.08
2021-08-05 04:30:09+00,50000.84,49684.01,51551.96
2021-08-05 04:45:10+00,52056.82,58362.69,55061.68
2021-08-05 05:00:15+00,74308.56,74712.48,75808.11
2021-08-05 05:15:10+00,93514.09,98890.22,100001.48
2021-08-05 05:30:15+00,50717.27,71438.69,51977.88
2021-08-05 05:45:10+00,32926.13,47085.06,40707.57
2021-08-05 06:00:15+00,69975.68,73734.89,76305.25
2021-08-05 06:15:09+00,34193.49,49408.54,42345.59
2021-08-05 06:30:10+00,63828.45,72113.32,74258.92
2021-08-05 06:45:15+00,17572.93,19175.75,21204.18
2021-08-05 07:00:10+00,38142.05,44763.4,49151.91
2021-08-05 07:15:15+00,71276.78,84822.84,96760.88
2021-08-05 07:30:10+00,51013.82,63736.58,67442.68
2021-08-05 07:45:15+00,21161.69,22797.83,30582.06
2021-08-05 08:00:09+00,25290.96,34202.28,34729.35
2021-08-05 08:15:09+00,23488.81,33506.43,33107.81
2021-08-05 08:30:10+00,10858.48,12680.6,12858.2
2021-08-05 08:45:15+00,11251.49,12689.71,12999.86
2021-08-05 09:00:10+00,8384.74,10200.04,9988.28
2021-08-05 09:15:15+00,17100.91,28509.3,23518.44
2021-08-05 09:30:10+00,6752.64,7345.93,7540.14
2021-08-05 09:45:15+00,6769.19,6470.91,6826.61
2021-08-05 10:00:09+00,5733.82,5316.55,5873.64
2021-08-05 10:15:10+00,5690.45,5769.45,6392.08
2021-08-05 10:30:15+00,921.86,1047.39,1188.76
2021-08-05 10:45:10+00,13.08,35.73,58.03
2021-08-05 11:00:15+00,0,0,0
2021-08-05 11:15:10+00,0,0,0
2021-08-05 11:30:15+00,0,0,0
