time,active_power
2021-08-04 22:30:12+00,0
2021-08-04 22:45:10+00,222.68
2021-08-04 23:00:10+00,1622.55
2021-08-04 23:15:15+00,3379.29
2021-08-04 23:30:15+00,5389.35
2021-08-04 23:45:12+00,7530.91
2021-08-05 00:00:15+00,9534.79
2021-08-05 00:15:10+00,10197.9
2021-08-05 00:30:10+00,14063.87
2021-08-05 00:45:15+00,13470.62
2021-08-05 01:00:15+00,16042.28
2021-08-05 01:15:15+00,18864.7
2021-08-05 01:30:09+00,21885.34
2021-08-05 01:45:10+00,22887.41
2021-08-05 02:00:10+00,28480.27
2021-08-05 02:15:15+00,29211.1
2021-08-05 02:30:15+00,29838.17
2021-08-05 02:45:15+00,57091.33
2021-08-05 03:00:09+00,45661.67
2021-08-05 03:15:10+00,45622.84
2021-08-05 03:30:15+00,28654.22
2021-08-05 03:45:10+00,51607.67
2021-08-05 04:00:15+00,72015.05
2021-08-05 04:15:10+00,47164.95
2021-08-05 04:30:09+00,46168.14
2021-08-05 04:45:10+00,66659.38
2021-08-05 05:00:15+00,72276.81
2021-08-05 05:15:10+00,24313.75
2021-08-05 05:30:15+00,43703.83
2021-08-05 05:45:10+00,68885.84
2021-08-05 06:00:15+00,59658.15
2021-08-05 06:15:09+00,33113.41
2021-08-05 06:30:10+00,59717.13
2021-08-05 06:45:15+00,76039.8
2021-08-05 07:00:10+00,98360.14
2021-08-05 07:15:15+00,65130.74
2021-08-05 07:30:10+00,29004.22
2021-08-05 07:45:15+00,25773
2021-08-05 08:00:09+00,27200.38
2021-08-05 08:15:09+00,28778.18
2021-08-05 08:30:10+00,25220.32
2021-08-05 08:45:15+00,28422.96
2021-08-05 09:00:10+00,46263.33
2021-08-05 09:15:15+00,38213.66
2021-08-05 09:30:10+00,38609.14
2021-08-05 09:45:15+00,33788.04
2021-08-05 10:00:09+00,25138.37
2021-08-05 10:15:10+00,17110.28
2021-08-05 10:30:15+00,8671.34
2021-08-05 10:45:10+00,1607.66
2021-08-05 11:00:15+00,493.28
2021-08-05 11:15:10+00,0
2021-08-05 11:30:15+00,0
